ID,小区名称,户型,面积,区域,楼层,朝向,价格（W）,单价（平方米）,建筑时间
1,梅园六街坊,2室0厅,47.72,浦东,低区/6层,朝南,500,104777,1992年建
2,碧云新天地（一期）,3室2厅,108.93,浦东,低区/6层,朝南,735,67474,2002年建
3,博山小区,1室1厅,43.79,浦东,中区/6层,朝南,260,59374,1988年建
4,金桥新村四街坊（博兴路986弄）,1室1厅,41.66,浦东,中区/6层,朝南北,280,67210,1997年建
5,博山小区,1室0厅,39.77,浦东,高区/6层,朝南,235,59089,1987年建
6,潍坊三村,1室0厅,34.84,浦东,中区/5层,,260,74626,1983年建
7,伟莱家园,2室2厅,100.15,浦东,中区/6层,朝南北,515,51422,2002年建
8,世茂滨江花园,3室2厅,260.39,浦东,中区/51层,朝西,2200,84488,
9,羽北小区,2室2厅,69.88,浦东,低区/6层,朝南,560,80137,1994年建
10,证大家园（公寓）,3室2厅,122.75,浦东,低区/11层,朝南北,785,63951,2002年建
11,上南十村,1室1厅,40.17,浦东,低区/6层,朝南,240,59746,1992年建
12,鹏欣家园,1室1厅,59.42,浦东,中区/6层,朝南,410,69000,1998年建
13,香楠小区,2室2厅,80.34,浦东,高区/6层,,420,52277,
14,恒大华城新华苑,2室1厅,68.9,浦东,高区/6层,朝南北,460,66763,1997年建
15,金橘新苑,1室1厅,61.65,浦东,低区/18层,朝南,370,60016,2006年建
16,陆家嘴花园（一期）,3室2厅,156.45,浦东,中区/11层,朝南北,1400,89485,1999年建
17,齐七小区,2室1厅,67.49,浦东,低区/6层,朝南,415,61490,1997年建
18,碧云新天地（一期）,3室2厅,129.82,浦东,中区/6层,朝南北,910,70097,2002年建
19,芳华路713弄,2室1厅,65.55,浦东,高区/6层,朝南北,365,55682,1995年建
20,环球翡翠湾花园（公寓）,3室2厅,118.86,浦东,中区/18层,朝南北,720,60575,2006年建
21,香楠小区,2室2厅,85.83,浦东,高区/6层,朝南北,440,51264,
22,连波路228弄,3室1厅,72.85,浦东,低区/6层,朝南,430,59025,1996年建
23,新领地,2室2厅,105.73,浦东,高区/29层,朝南,535,50600,2002年建
24,园西小区,2室1厅,54.82,浦东,中区/5层,朝南北,250,45603,1987年建
25,杨思路502弄,2室0厅,46.68,浦东,高区/7层,朝东北,250,53556,1995年建
26,海桐小区,2室1厅,71.18,浦东,低区/6层,朝南,630,88508,1999年建
27,宏莲馨苑,3室2厅,110.17,浦东,中区/11层,朝南北,689,62539,
28,金杨二街坊,2室1厅,61.75,浦东,高区/7层,朝西南,330,53441,
29,金桥新村四街坊（博兴路986弄）,3室1厅,73.17,浦东,低区/6层,朝南北,450,61500,1997年建
30,金桥瑞仕花园,2室2厅,116.22,浦东,高区/12层,朝南北,1100,94648,2008年建
31,上南六村,2室0厅,51.1,浦东,高区/6层,朝南,306,59882,
32,潍坊八村,2室1厅,48.11,浦东,中区/6层,朝南,385,80024,1985年建
33,锦福苑,1室1厅,58.5,浦东,高区/6层,朝南北,234,40000,2005年建
34,碧云新天地（一期）,2室2厅,95.78,浦东,低区/6层,朝南,640,66819,2002年建
35,东陆新村五街坊,1室1厅,42.42,浦东,中区/6层,朝南,275,64827,2003年建
36,临沂七村,1室0厅,34.5,浦东,低区/6层,,240,69565,1990年建
37,菊园,3室2厅,135.65,浦东,中区/35层,朝南,1100,81091,
38,双桥小区,2室1厅,75.1,浦东,高区/6层,朝南,480,63914,1997年建
39,浦发绿城,2室1厅,72.82,浦东,低区/6层,朝南北,395,54243,2004年建
40,兰园小区,2室0厅,55.51,浦东,高区/6层,朝南北,430,77463,1988年建
41,金桥新村四街坊（博兴路986弄）,3室1厅,76,浦东,高区/6层,朝南北,430,56578,1997年建
42,罗山五村,2室1厅,62.34,浦东,中区/6层,朝东南,355,56945,
43,东源名都,3室2厅,138.57,浦东,低区/18层,朝南北,795,57371,2007年建
44,交江大楼,2室1厅,82.12,浦东,中区/27层,朝东南,390,47491,1995年建
45,上南花苑,4室2厅,143.46,浦东,低区/7层,朝南,750,52279,1996年建
46,潼港六村,2室1厅,58.22,浦东,低区/6层,朝南,243,41738,1990年建
47,绿地东上海,2室2厅,113.81,浦东,低区/18层,朝南北,580,50962,2007年建
48,金唐公寓,1室1厅,59.72,浦东,高区/6层,朝南,298,49899,2006年建
49,涵乐园,1室2厅,68.47,浦东,低区/24层,朝东,598,87337,
50,绿地康桥新苑,2室1厅,77.72,浦东,高区/6层,朝南,405,52110,2004年建
51,樱花路89弄,3室2厅,99.58,浦东,高区/6层,朝南,795,79835,2006年建
52,东方康德家园,3室2厅,99.85,浦东,低区/6层,朝南北,475,47571,
53,锦博苑,2室2厅,79.57,浦东,高区/6层,朝南,550,69121,2007年建
54,海高二村,2室1厅,64.99,浦东,高区/6层,,255,39236,1994年建
55,棕榈苑,2室1厅,84.88,浦东,高区/12层,朝南,430,50659,1999年建
56,张杨花苑,2室2厅,96.73,浦东,低区/13层,朝西南,730,75467,
57,建业新村,2室1厅,64.31,浦东,高区/6层,朝南,339,52713,1997年建
58,金杨新村十街坊,3室1厅,72.84,浦东,高区/6层,朝南,370,50796,1996年建
59,中星恬园,2室2厅,108.11,浦东,高区/7层,朝南北,980,90648,
60,紫竹轩,2室2厅,108.55,浦东,中区/6层,朝南北,640,58959,2001年建
61,城南路374弄,2室1厅,40.93,浦东,中区/6层,朝南北,196,47886,1988年建
62,绿茵苑（浦东）,1室1厅,57.48,浦东,高区/6层,朝南,328,57063,1998年建
63,双桥小区,1室1厅,41.91,浦东,低区/6层,,315,75161,1997年建
64,黄山新村,1室0厅,34.29,浦东,高区/6层,朝南北,345,100612,1995年建
65,园西小区,3室1厅,71.48,浦东,高区/4层,朝南北,290,40570,1987年建
66,临沂六村,1室0厅,35.57,浦东,高区/6层,朝南,215,60444,
67,名嘉新苑,3室2厅,122.76,浦东,高区/18层,朝南北,740,60280,2007年建
68,临沂大楼,2室1厅,74.27,浦东,低区/25层,朝南,432,58166,1994年建
69,桃园公寓（川沙）,2室2厅,95.86,浦东,高区/6层,朝南,355,37033,1998年建
70,环球翡翠湾花园（公寓）,3室2厅,119.07,浦东,高区/18层,朝南北,795,66767,2006年建
71,中冶尚城,2室2厅,87.48,浦东,低区/14层,朝南北,550,62871,2010年建
72,桃林小区,3室2厅,105,浦东,低区/6层,朝,990,94285,1999年建
73,双桥小区,1室1厅,41.91,浦东,高区/6层,朝南,340,81126,1997年建
74,黄山始信苑,2室1厅,56.39,浦东,低区/6层,朝南,465,82461,1999年建
75,金桥新村四街坊（长岛路1201弄）,2室1厅,65.18,浦东,高区/6层,朝南北,370,56765,1997年建
76,妙境公寓,3室1厅,105.56,浦东,中区/5层,朝南北,450,42629,1996年建
77,恒大华城梅山苑,2室1厅,64.41,浦东,高区/6层,朝南北,390,60549,1996年建
78,黄山始信苑,2室1厅,76.47,浦东,低区/4层,朝南北,520,68000,1999年建
79,金桥新村四街坊（长岛路1201弄）,2室1厅,64.63,浦东,高区/6层,朝南,365,56475,1997年建
80,妙境路627弄,3室1厅,108.91,浦东,高区/6层,朝南,350,32136,1997年建
81,牡丹小区（浦东）,2室1厅,54.36,浦东,低区/6层,朝南北,420,77262,
82,世华锦城,3室1厅,100.96,浦东,高区/18层,朝南,730,72305,2007年建
83,金杨四街坊,3室2厅,95.2,浦东,高区/7层,朝东南,550,57773,1994年建
84,尚东国际名园,4室2厅,266.28,浦东,低区/8层,朝南北,1350,50698,2007年建
85,世茂滨江花园,2室2厅,132.17,浦东,中区/56层,朝西北,1100,83226,
86,三林世博家园（板泉路2101弄）,2室1厅,73.32,浦东,中区/6层,朝南北,420,57283,2006年建
87,绿地景汇佳苑,4室2厅,201.84,浦东,低区/18层,朝南北,1000,49544,2012年建
88,大华锦绣华城（四街区）,3室2厅,90.91,浦东,低区/18层,朝南,750,82499,2010年建
89,港城新苑,2室2厅,94.69,浦东,中区/14层,朝南北,450,47523,
90,浦发御园,3室2厅,85.97,浦东,中区/11层,朝南北,670,77934,2013年建
91,牡丹小区（浦东）,2室1厅,62.38,浦东,高区/6层,朝南北,475,76146,
92,保利金爵公寓,3室2厅,112.07,浦东,中区/14层,朝南北,680,60676,
93,德州二村,2室1厅,50.57,浦东,低区/6层,朝西南,290,57346,1984年建
94,绿洲康城亲水湾,1室1厅,61.92,浦东,中区/22层,朝南,368,59431,2012年建
95,崮山小区,1室1厅,53.92,浦东,中区/6层,朝南,445,82529,1997年建
96,绿洲康城亲水湾,1室1厅,69.91,浦东,高区/22层,朝南,380,54355,2012年建
97,恒大华城天地苑,1室2厅,70.67,浦东,低区/11层,朝,535,75703,2002年建
98,绿茵苑（浦东）,2室1厅,72.31,浦东,高区/6层,朝南,375,51860,1998年建
99,恒大翰城瀚林苑,2室2厅,91.93,浦东,中区/6层,朝南北,600,65267,2002年建
100,东陆新村五街坊,3室1厅,77.85,浦东,高区/6层,朝南,472,60629,2003年建
101,锦绣一方名苑,3室2厅,132.76,浦东,中区/11层,朝南北,940,70804,2002年建
102,泉东小区,2室1厅,56.89,浦东,低区/6层,朝南,530,93162,
103,华高一村,3室1厅,93.12,浦东,高区/6层,朝南北,370,39733,1994年建
104,世茂滨江花园,2室2厅,126.39,浦东,中区/56层,朝西北,1150,90988,
105,艺泰安邦,3室2厅,131.71,浦东,低区/17层,朝南北,385,29230,2007年建
106,高科西路2847弄,2室1厅,83.86,浦东,低区/6层,朝南,500,59623,1994年建
107,民星苑,2室1厅,64.59,浦东,低区/6层,朝南北,350,54187,1997年建
108,博一小区,3室1厅,80.97,浦东,中区/6层,朝南,450,55576,1995年建
109,上钢三村,1室1厅,41.84,浦东,高区/6层,朝南,235,56166,
110,梅园六街坊,2室1厅,52.58,浦东,高区/6层,朝南,518,98516,1993年建
111,罗山五村,2室1厅,60.99,浦东,高区/6层,朝南北,335,54927,1990年建
112,金谊河畔,2室2厅,113.19,浦东,低区/16层,朝南,725,64051,2009年建
113,浦发绿城,3室2厅,113.11,浦东,高区/11层,朝南北,560,49509,2005年建
114,泾华新村,1室1厅,49.3,浦东,高区/6层,朝南北,300,60851,1992年建
115,新世纪花苑（浦东）,1室1厅,50.85,浦东,中区/7层,,358,70403,1996年建
116,博山公寓,3室2厅,127.17,浦东,低区/14层,朝东南,750,58976,1998年建
117,证大家园（公寓）,2室2厅,88.72,浦东,中区/5层,朝南北,700,78899,2005年建
118,金杨新村十街坊,2室1厅,57.46,浦东,高区/6层,朝南北,325,56561,1993年建
119,凌兆路608弄,2室1厅,74.67,浦东,中区/6层,朝南北,460,61604,1996年建
120,名嘉新苑,4室2厅,146.21,浦东,高区/18层,朝南北,880,60187,2007年建
121,上南二村,3室0厅,65.61,浦东,高区/6层,朝南,425,64776,1989年建
122,名嘉新苑,4室2厅,146.47,浦东,中区/17层,朝南北,910,62128,2007年建
123,中房樱桃苑,3室2厅,131.15,浦东,高区/14层,朝南北,950,72436,2006年建
124,同方锦城,3室2厅,117.34,浦东,高区/6层,朝南北,690,58803,2004年建
125,瑞苑公寓,3室2厅,181.62,浦东,高区/40层,朝南,1280,70476,2001年建
126,凌兆新村（上浦路510弄）,2室1厅,56.12,浦东,高区/6层,朝南,315,56129,1994年建
127,翰城国际,3室2厅,113.95,浦东,低区/13层,朝南北,760,66695,2004年建
